epoch,acc,f1,loss,precision,recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0.469280617,0.288265709,1.162180348,0.649912287,0.192601099,0.465116279,0.333493652,1.055055042,0.740472248,0.217054264
1,0.510212452,0.366579464,1.023290982,0.65905834,0.259617751,0.536893483,0.451840601,0.966801303,0.590411902,0.367212173
2,0.549257649,0.43432987,0.954706396,0.651584671,0.33213026,0.550100488,0.443077822,0.936328256,0.661654302,0.334768877
3,0.560331392,0.462112416,0.916554577,0.671042503,0.357804938,0.5569911,0.476011797,0.907043371,0.691400888,0.364915303
4,0.575506521,0.487193478,0.89210903,0.687288362,0.381346895,0.589147287,0.528289186,0.877963696,0.628185677,0.457077232
5,0.579197769,0.496185684,0.879432261,0.682538771,0.393815109,0.592305484,0.546380702,0.867122867,0.653033976,0.470571347
6,0.575424493,0.495177117,0.882870742,0.692009248,0.390123862,0.591731266,0.508236814,0.839153598,0.748516995,0.387022682
7,0.600278894,0.531727094,0.849393868,0.692391137,0.436305471,0.577662934,0.505100888,0.85447602,0.735302214,0.386735573
8,0.600196866,0.540776504,0.84032378,0.686790242,0.451070462,0.607235142,0.537989383,0.833460767,0.664128533,0.453631926
9,0.605692724,0.550358643,0.830003182,0.691649024,0.461159872,0.603502727,0.574054049,0.838907799,0.708469104,0.484639679
10,0.609055861,0.54982831,0.826987751,0.692269716,0.459929456,0.61986793,0.510601925,0.821763346,0.762226583,0.385874246
11,0.614305635,0.562453583,0.814898874,0.697266784,0.475514724,0.553832903,0.500819199,0.878154659,0.671974714,0.400516796
12,0.619637437,0.570235775,0.806249829,0.705117236,0.481092609,0.621016365,0.569103745,0.820227843,0.657257901,0.502440425
13,0.614961857,0.566430789,0.835675101,0.699304508,0.479370027,0.62704565,0.549810861,0.826150525,0.675209048,0.46482917
14,0.614633746,0.571960196,0.805102516,0.703716547,0.48576819,0.623026127,0.560753204,0.792240987,0.758802656,0.446741315
15,0.629398737,0.589073471,0.78394867,0.721586791,0.500369125,0.593453919,0.576606044,0.813932927,0.69946033,0.491817399
16,0.630465097,0.587926133,0.781917877,0.717524282,0.500943319,0.611828883,0.600685762,0.790378293,0.698165982,0.528280218
17,0.643097367,0.598730188,0.769522475,0.737326401,0.506275121,0.644846397,0.570246893,0.78860692,0.683629423,0.490094746
18,0.647526864,0.597793606,0.767721665,0.735581683,0.505618899,0.658340511,0.620670863,0.76190574,0.734127867,0.538616135
19,0.657862358,0.619177243,0.74677984,0.750362434,0.528832745,0.607235142,0.587969705,0.794718478,0.704096798,0.506172839
20,0.659420884,0.627565882,0.738500395,0.751945943,0.540480683,0.651162791,0.631463366,0.735979842,0.779271886,0.53258685
21,0.645804282,0.609597506,0.759104192,0.73197851,0.524649331,0.616996842,0.565287553,0.813675618,0.686726629,0.48176859
22,0.64801903,0.607297285,0.769660576,0.744557948,0.515544254,0.649727247,0.615034513,0.743796894,0.758515231,0.519092736
23,0.674431958,0.642643526,0.72525786,0.755415986,0.561315725,0.641113982,0.592557916,0.761745662,0.735160188,0.497559575
24,0.655565581,0.631469358,0.735250268,0.741570093,0.551800509,0.635946024,0.621375022,0.752191087,0.759652884,0.527418892
25,0.671314904,0.646060402,0.71870846,0.752576961,0.567795915,0.631639391,0.611905621,0.742279336,0.707334457,0.540338788
26,0.677466984,0.650138961,0.713737757,0.749771566,0.575424494,0.697100201,0.677965971,0.694486897,0.76745627,0.608383577
27,0.661225494,0.623207163,0.734757255,0.734359954,0.54417193,0.658914729,0.582129299,0.75086459,0.737007983,0.482055699
28,0.661225494,0.620345801,0.742886109,0.734669136,0.538512017,0.632787827,0.613536946,0.759676467,0.731515887,0.529428653
29,0.672135182,0.637272592,0.731942123,0.743715141,0.559100976,0.692219351,0.6526608,0.727142512,0.768374816,0.56904967
30,0.676400623,0.648160365,0.722781224,0.750867889,0.571733246,0.683031869,0.638843702,0.703550679,0.768137813,0.548377835
31,0.682388647,0.656754046,0.70953021,0.75051409,0.585349848,0.680734998,0.652094312,0.709172465,0.786719868,0.55928797
32,0.683537036,0.660370328,0.703007216,0.756309632,0.587564597,0.706000574,0.676400237,0.681892266,0.758042171,0.611541774
