epoch,acc,f1,loss,val_acc,val_f1,val_loss
0,0.278522393,0,1.387330519,0.310926773,0,1.370133171
1,0.312438705,0,1.358606592,0.316933638,0,1.346794744
2,0.329274273,0,1.332636732,0.352116705,0,1.316211327
3,0.364988558,0,1.299475035,0.370995423,0,1.279832708
4,0.397106898,0.018644382,1.266223785,0.432494279,0.038642424,1.247849186
5,0.435109513,0.071987177,1.237999039,0.443363845,0.150213055,1.221027379
6,0.448349134,0.150869782,1.215238836,0.473684211,0.156095154,1.201752331
7,0.462242563,0.182735621,1.197343826,0.476830663,0.219008311,1.183610287
8,0.461588754,0.225571182,1.182388728,0.470537758,0.258105176,1.170035926
9,0.461997385,0.26988387,1.168618745,0.471681922,0.299996351,1.154835418
10,0.465511605,0.295620775,1.155218825,0.471967963,0.299988606,1.143715356
11,0.467146126,0.296293708,1.144323481,0.487128147,0.296223455,1.133784246
12,0.46747303,0.296233791,1.134611869,0.481979405,0.296223455,1.125351076
13,0.473765937,0.297239354,1.113866344,0.505434783,0.292873558,1.081783291
14,0.4786695,0.298295003,1.090437622,0.482551487,0.311361479,1.075994492
15,0.484226872,0.312632475,1.082563206,0.495995423,0.316478834,1.067021859
16,0.482755803,0.31218356,1.075213127,0.50715103,0.309794976,1.061738537
17,0.48177509,0.311795497,1.069239965,0.486842105,0.323816942,1.056953532
18,0.475890814,0.313061517,1.065214112,0.493421053,0.31028667,1.052530686
19,0.4786695,0.326232596,1.061073774,0.488272311,0.34227367,1.049971528
20,0.478179143,0.329545099,1.058231612,0.491990847,0.364619402,1.049393658
21,0.471314155,0.340557416,1.054263503,0.479977117,0.334613343,1.044686402
22,0.468617195,0.345476833,1.050027764,0.491418764,0.360239319,1.04132314
23,0.475645636,0.344995686,1.046235313,0.477974829,0.349756772,1.03706778
24,0.480140569,0.348979247,1.042826104,0.509725401,0.349157762,1.035970225
25,0.468535469,0.351178913,1.038942886,0.491418764,0.351014652,1.029896412
26,0.472703498,0.35482014,1.031660692,0.489988558,0.349387215,1.020798955
27,0.479568486,0.366128904,1.025032175,0.498855835,0.379933557,1.022027718
28,0.479405034,0.367208034,1.020303424,0.500858123,0.361990033,1.015252323
29,0.477607061,0.368216525,1.017682722,0.511727689,0.37491307,1.011108411
30,0.481611638,0.368864631,1.013235769,0.499427917,0.381781367,1.01088728
31,0.485616214,0.371659395,1.012687676,0.501144165,0.368170302,1.00616992
32,0.484962406,0.37282638,1.010824739,0.503432494,0.388324047,1.004026312
33,0.486760379,0.375445018,1.009411092,0.502860412,0.376979864,1.006357647
34,0.490764956,0.379070628,1.006862833,0.482265446,0.392843195,1.009274222
35,0.489539065,0.380694571,1.006637523,0.518020595,0.375854854,0.99889324
36,0.495586793,0.3815886,1.004750924,0.510011442,0.388033346,1.000702463
37,0.490928408,0.38497971,1.002659039,0.508295195,0.386618332,0.999051893
38,0.497139588,0.381602081,1.001019057,0.511441647,0.38716797,1.00073652
39,0.496240602,0.391984857,1.000759818,0.512299771,0.397218708,1.000911902
40,0.500735535,0.392107923,0.997415803,0.51916476,0.398163961,0.99095044
41,0.496240602,0.394448525,0.996329075,0.517734554,0.380142438,0.990413039
42,0.502370056,0.397610468,0.994468322,0.518592678,0.382117588,0.989388707
43,0.495586793,0.395969661,0.993244309,0.503146453,0.378206184,0.986969578
44,0.503023864,0.395634322,0.99093579,0.518592677,0.416308074,0.984543436
45,0.505557372,0.400693038,0.989013088,0.516304348,0.416210676,0.981323406
46,0.506864989,0.406454272,0.988381195,0.501716247,0.40767478,0.981949444
47,0.5097254,0.40703928,0.986935304,0.508295194,0.417672724,0.984900252
48,0.508744688,0.402083211,0.984500806,0.519164759,0.427912961,0.977310555
49,0.508581236,0.408830439,0.982313424,0.507151029,0.403400108,0.979617365
50,0.510297483,0.409337285,0.982513261,0.520594965,0.431495882,0.973536177
51,0.51242236,0.408968258,0.980046493,0.526887872,0.420117921,0.971981624
52,0.513648251,0.410267998,0.977725625,0.542048055,0.449682219,0.974679557
53,0.513893429,0.41188703,0.977281756,0.540045766,0.42687431,0.970007444
54,0.51781628,0.414770158,0.975830253,0.520881007,0.422380754,0.972711529
55,0.514955868,0.414891051,0.973910907,0.526601831,0.422277193,0.965661261
56,0.515446224,0.41677317,0.972070121,0.521453089,0.430876511,0.963712483
57,0.52092187,0.41542575,0.971405659,0.530320366,0.430800748,0.967351287
58,0.522965021,0.415833153,0.969077254,0.511441647,0.409635305,0.96864388
59,0.524272638,0.418797759,0.968644687,0.538615561,0.418008076,0.963077671
60,0.528685845,0.422330237,0.967710343,0.54090389,0.410433344,0.963714873
61,0.526479242,0.418675234,0.964680905,0.546338673,0.458835731,0.96580077
62,0.534243217,0.419034708,0.963812903,0.558352403,0.427823074,0.95613802
63,0.535305655,0.418189725,0.963397572,0.551201373,0.411470754,0.964058653
64,0.536776724,0.422020264,0.961100676,0.526887872,0.431034071,0.956930943
65,0.542987905,0.420065218,0.959606229,0.560640732,0.431213357,0.95127471
66,0.539065054,0.42057787,0.959101249,0.548627002,0.452419432,0.951166574
67,0.53873815,0.423375089,0.957425494,0.54805492,0.426064142,0.9528188
68,0.540372671,0.424963292,0.957407042,0.562929062,0.443608822,0.947583507
69,0.54225237,0.425234437,0.953595023,0.542620137,0.417553957,0.946099939
70,0.545930042,0.430365526,0.953240467,0.562070938,0.440531186,0.944013368
71,0.547401111,0.42404854,0.951085756,0.549199085,0.418615151,0.946142774
72,0.548790454,0.428780839,0.948886913,0.555778032,0.441266623,0.945493006
73,0.547074207,0.431500163,0.948528653,0.569221968,0.410227092,0.938321546
74,0.550588428,0.424931744,0.946386682,0.573798627,0.426435272,0.937551885
75,0.547237659,0.425893656,0.944724501,0.571510298,0.446715597,0.936430798
76,0.550833606,0.434024046,0.942349171,0.558352402,0.420746913,0.934488502
77,0.551896044,0.43274498,0.941975785,0.578375286,0.425310376,0.933101834
78,0.551487414,0.430922945,0.939435051,0.573798627,0.420580499,0.931413437
79,0.55344884,0.434653067,0.937983532,0.572654462,0.486751065,0.931367056
80,0.554102648,0.429825597,0.937164257,0.573798627,0.388830201,0.929886217
81,0.555246813,0.434995026,0.935097644,0.558066362,0.418253858,0.926694335
82,0.556636156,0.436067791,0.933584201,0.581235698,0.426995086,0.925636145
83,0.555655443,0.433366459,0.931268035,0.576086957,0.441967246,0.9243154
84,0.558842759,0.442113952,0.930160035,0.587814645,0.447879718,0.925628657
85,0.555165087,0.440990697,0.929686987,0.590389016,0.450708242,0.919960024
86,0.558597581,0.445549833,0.9274658,0.570652174,0.462435999,0.920284132
87,0.555655443,0.441344988,0.925780309,0.555778032,0.455566317,0.92055638
88,0.563419418,0.451114258,0.923602917,0.570938215,0.478946417,0.918635556
89,0.563010788,0.453913935,0.921306366,0.572654462,0.451808986,0.914895902
90,0.562847336,0.452625684,0.920097598,0.577803204,0.426416964,0.913928551
91,0.564727035,0.452574617,0.918852989,0.575228833,0.455849222,0.910127257
92,0.56358287,0.454618153,0.918062258,0.583524028,0.454941554,0.90906288
93,0.567260543,0.459458299,0.914961268,0.598398169,0.485807927,0.910260738
94,0.568241255,0.453038542,0.91333509,0.586956522,0.478413565,0.907649464
95,0.565380843,0.464492543,0.912520695,0.58667048,0.457830666,0.908964133
96,0.567750899,0.463907904,0.911628199,0.582093822,0.458813659,0.904747563
97,0.568322981,0.460446298,0.909026781,0.585526316,0.475395579,0.903861437
98,0.571592024,0.461110164,0.908393783,0.565789474,0.486005089,0.901691031
99,0.566606734,0.466823439,0.907928867,0.582665904,0.48011238,0.903147243
100,0.570529585,0.472785233,0.904901065,0.583524028,0.465480817,0.901250283
101,0.573962079,0.467333261,0.903051648,0.580663616,0.461604053,0.897022557
102,0.57477934,0.465136999,0.901727088,0.580663616,0.462128714,0.898408829
103,0.574043805,0.471493878,0.90041718,0.605549199,0.474766302,0.893891035
104,0.579519451,0.465380926,0.898359351,0.559210527,0.472463845,0.894530203
105,0.578375286,0.468368595,0.896609135,0.597826087,0.489146841,0.892074183
106,0.579846355,0.467491127,0.896665989,0.587242563,0.489687362,0.889344574
107,0.578048382,0.474193982,0.894037416,0.616132723,0.49107796,0.888949523
108,0.576250409,0.477908857,0.894672914,0.593249428,0.470500745,0.886449904
109,0.580336711,0.477129394,0.893005369,0.583524028,0.488382526,0.887315405
110,0.583769206,0.482463601,0.889588225,0.581521739,0.488524145,0.883947845
111,0.57829356,0.483991835,0.889789276,0.589816934,0.487440261,0.885885538
112,0.581562602,0.482961322,0.886641131,0.597254005,0.498115424,0.881005527
113,0.581153972,0.489135416,0.886278628,0.580377574,0.50929462,0.880106623
114,0.583524027,0.489929167,0.882988218,0.606407322,0.50523941,0.879723884
115,0.587365152,0.489098403,0.882282635,0.601544622,0.519354477,0.877515651
116,0.587692056,0.490407145,0.881434019,0.609267735,0.503818746,0.875476756
117,0.588917947,0.494725867,0.880372276,0.601544623,0.509310314,0.873438825
118,0.587119974,0.498208246,0.878813971,0.601544623,0.50113972,0.872568657
119,0.589816934,0.494814728,0.8767958,0.622997712,0.506309145,0.874782562
120,0.590879372,0.499854703,0.877149719,0.605263158,0.503909942,0.876112776
121,0.588264139,0.49768712,0.877426994,0.616704805,0.52560201,0.870945726
122,0.592840798,0.496198315,0.876065352,0.595823799,0.519679836,0.867215306
123,0.588509317,0.502141926,0.874900329,0.572654462,0.503255605,0.879489243
124,0.592105263,0.504832115,0.872544806,0.601830664,0.505153323,0.873040996
125,0.589490029,0.505423609,0.870546476,0.598112128,0.499885181,0.868184376
126,0.590470742,0.507514167,0.871436534,0.594107551,0.529257778,0.865890169
127,0.59071592,0.508109645,0.868782033,0.618421052,0.517229107,0.866001688
128,0.593739784,0.503337158,0.868992679,0.602402746,0.527043052,0.862619248
129,0.592513893,0.509082356,0.866228051,0.594107551,0.533561964,0.861846492
130,0.593658058,0.512034002,0.865469892,0.603546911,0.514932963,0.860242549
131,0.59382151,0.505956153,0.865857614,0.606693364,0.526702489,0.863054458
132,0.598316443,0.509696764,0.865291566,0.603546911,0.520737107,0.860183336
133,0.594802223,0.51049782,0.863549061,0.616990847,0.485808616,0.861997709
134,0.599051978,0.508979813,0.86275498,0.616704805,0.52909019,0.86461161
135,0.595456031,0.516227809,0.861125422,0.601830663,0.538953914,0.855988043
136,0.593984962,0.51371783,0.861737048,0.601830663,0.530317459,0.853827232
137,0.599133704,0.508860895,0.860354264,0.603546911,0.533574762,0.853540799
138,0.597008826,0.514736354,0.857071188,0.607551487,0.534562937,0.854153734
139,0.602157568,0.515115964,0.857521569,0.640732265,0.509195101,0.856852687
140,0.601667211,0.510452725,0.85879924,0.60583524,0.524223817,0.859717992
141,0.60272965,0.509211202,0.856626247,0.601258581,0.506541135,0.858045232
142,0.600441321,0.518999722,0.856577488,0.636155606,0.518747893,0.850816675
143,0.600523047,0.513580097,0.855447862,0.632723112,0.522295099,0.85176124
144,0.603056554,0.511734032,0.855512002,0.59610984,0.518492894,0.853098872
145,0.601422033,0.515134232,0.853836841,0.616990847,0.536915756,0.849468858
146,0.600523047,0.520358315,0.852824077,0.602116705,0.532960971,0.846921831
147,0.603138281,0.515060019,0.853746194,0.641304348,0.535793014,0.848158754
148,0.607633213,0.508973935,0.853566671,0.601544623,0.521884798,0.851429045
149,0.605344884,0.521014429,0.850697643,0.63215103,0.520299494,0.853146415
150,0.60771494,0.512154808,0.850145701,0.614130435,0.555093536,0.857483951
151,0.608205296,0.514924647,0.850115316,0.616990847,0.495494434,0.854646251
152,0.606162144,0.515425923,0.850291686,0.607837529,0.519522429,0.84553138
153,0.605671788,0.520847409,0.849048077,0.621853547,0.504707999,0.856876038
154,0.610575351,0.518704797,0.849343304,0.630720824,0.52766756,0.847331675
155,0.610003269,0.517660867,0.848363626,0.604691075,0.545539396,0.84518458
156,0.607306309,0.519403194,0.847934543,0.603832952,0.54457356,0.843836665
157,0.606897679,0.511712976,0.847836219,0.600686499,0.478349188,0.846727313
158,0.611147434,0.520995543,0.846265827,0.604691075,0.529014515,0.849979578
