epoch,acc,f1,loss,precision,recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0.391790738,0.033521406,1.305844725,0.394020468,0.01809657,0.394183703,0.118505806,1.237892147,0.759340765,0.065073424
1,0.425187135,0.070511021,1.227262274,0.811432149,0.037756025,0.443708609,0.073819349,1.184615519,0.879604553,0.038871293
2,0.425269392,0.214710666,1.183515073,0.655540329,0.132351731,0.443420674,0.285369938,1.152452338,0.716786654,0.179959689
3,0.46467056,0.275263326,1.150445613,0.697021975,0.174960928,0.48401958,0.290265878,1.121483786,0.781505238,0.179671754
4,0.477009131,0.278756467,1.126145737,0.714445087,0.176606071,0.496112871,0.315381616,1.102702849,0.719244144,0.2035704
5,0.495599243,0.290262113,1.097404172,0.701962788,0.185736613,0.51281313,0.256740773,1.076364533,0.735560691,0.156924849
6,0.508266842,0.308466717,1.074922521,0.682394238,0.201859011,0.505614742,0.340798831,1.056366247,0.635246926,0.234667435
7,0.510816813,0.315494252,1.063904621,0.680226425,0.208768611,0.497264613,0.296989624,1.048879795,0.723211419,0.188309819
8,0.514436127,0.316841401,1.052531713,0.686806961,0.210413753,0.518283904,0.323129155,1.037891745,0.727361139,0.20932911
9,0.514847413,0.318288125,1.046241584,0.654811507,0.213786296,0.507630291,0.316486804,1.030778384,0.698482015,0.20616182
10,0.523155384,0.340457611,1.030522241,0.658832036,0.233610266,0.565505327,0.348966624,1.018867599,0.700436716,0.234091564
11,0.531956897,0.375403285,1.010840987,0.651907511,0.266266349,0.538727325,0.36434054,1.003255426,0.668298672,0.251655629
12,0.54421321,0.411735846,0.996610332,0.672648915,0.30040306,0.509645839,0.426880481,0.981106051,0.652029148,0.319032537
13,0.543884182,0.437911299,0.986076368,0.672707383,0.328041458,0.559458681,0.431294619,0.998449478,0.687379405,0.315577311
14,0.552685695,0.448708265,0.984516949,0.661772217,0.342025171,0.578174489,0.458125995,0.979655441,0.681232556,0.346674345
15,0.559677552,0.462302624,0.964643847,0.660908719,0.359381426,0.570112295,0.508968064,0.961005835,0.660443319,0.415778866
16,0.558937238,0.470611242,0.943879042,0.669952691,0.365632969,0.562625972,0.436375801,0.97400342,0.670049479,0.324791247
17,0.561404952,0.475149156,0.933042302,0.691666343,0.366044254,0.520875324,0.511489327,0.963778387,0.645873936,0.424704866
18,0.553672781,0.484030907,0.952590262,0.666695331,0.383894053,0.563489778,0.524923918,0.91726643,0.697778499,0.422113447
19,0.560911409,0.483863775,0.932197942,0.679888594,0.380768282,0.542758422,0.495039753,0.917880266,0.670132851,0.393895767
20,0.565106523,0.484674217,0.926001825,0.674536539,0.382331167,0.574719263,0.498299851,0.86630207,0.767901754,0.370860927
21,0.572427408,0.500235186,0.904417711,0.690211529,0.395245538,0.574431328,0.538354924,0.875708865,0.705288274,0.436510222
22,0.572838694,0.508145116,0.896490188,0.694518613,0.404540594,0.628851137,0.530453751,0.85792508,0.716321813,0.422689318
23,0.583120836,0.511871124,0.892776481,0.687732065,0.411121165,0.567520875,0.494549712,0.858436786,0.701579408,0.383242154
24,0.571193551,0.508961985,0.925333511,0.664637208,0.416221107,0.567520875,0.500830817,0.886709846,0.731670721,0.382378347
25,0.588796578,0.512859139,0.877146234,0.706588973,0.406021222,0.566945004,0.488295911,0.94801834,0.687867518,0.380362799
26,0.576458008,0.507556231,0.892361559,0.705104823,0.400016451,0.627699395,0.525095222,0.837533636,0.739295488,0.408868414
27,0.582545036,0.517476757,0.882712234,0.698308657,0.414904993,0.594010942,0.485958894,0.885177363,0.719440715,0.368557443
28,0.591346549,0.519563625,0.873841311,0.714665229,0.411614708,0.608983588,0.533702905,0.828377711,0.780926754,0.407140801
29,0.588549807,0.519029591,0.884034756,0.699945441,0.415809821,0.574719263,0.542662167,0.873155461,0.678779046,0.453498416
30,0.582874064,0.517994889,0.87498595,0.708010377,0.41153245,0.57040023,0.52239858,0.856750495,0.683665713,0.42384106
31,0.588056264,0.520102716,0.87678759,0.713421484,0.412437279,0.603512813,0.527914234,0.860456801,0.723912306,0.416930608
32,0.608867319,0.533836743,0.851484799,0.718669087,0.427572592,0.625971782,0.567765062,0.83813596,0.699335709,0.479412612
33,0.609936662,0.53869875,0.85086374,0.716492155,0.434975734,0.568096746,0.552303466,0.875549049,0.670686422,0.470774547
34,0.599983549,0.531436158,0.856745692,0.709495903,0.428559677,0.641808235,0.526392446,0.809311731,0.745275256,0.408292543
35,0.602944805,0.534432037,0.858205929,0.698831693,0.436127334,0.530377196,0.459164937,0.880230222,0.692855494,0.344946732
36,0.623755861,0.550216488,0.828195366,0.722087086,0.447643333,0.62741146,0.564498711,0.799549378,0.746250838,0.454938094
37,0.601793206,0.528392942,0.869117493,0.708599345,0.425269392,0.6017852,0.486516339,0.880849126,0.683420487,0.379211057
38,0.597680349,0.530924434,0.902889737,0.702757779,0.430369334,0.592283329,0.51454911,0.869610001,0.745210266,0.394759574
39,0.600723863,0.536920085,0.876840833,0.710650246,0.43423542,0.605240426,0.530079564,0.871001492,0.682760384,0.434494673
40,0.612404376,0.548206127,0.842662981,0.709428532,0.449123962,0.594010942,0.566165332,0.877845197,0.709244408,0.472214224
41,0.605083491,0.547819511,0.861157834,0.699485127,0.452578761,0.583933199,0.540476071,0.867463475,0.698848207,0.441980996
42,0.628444518,0.565512131,0.827972472,0.718800656,0.468618903,0.63892888,0.558456712,0.811524371,0.732516118,0.45263461
43,0.615365633,0.560524958,0.830810248,0.706846956,0.466726989,0.621076879,0.55504918,0.844080102,0.700924629,0.460984739
44,0.615612404,0.552989185,0.835758402,0.712216774,0.453894875,0.549380939,0.502865203,0.92323191,0.65486804,0.409444285
45,0.625318746,0.571786753,0.81826204,0.722658207,0.476762359,0.640080622,0.572790457,0.793571403,0.687136422,0.492081774
46,0.623509089,0.585520935,0.822669237,0.709967658,0.5002879,0.632594299,0.614198744,0.792082666,0.729436788,0.531241002
47,0.61890269,0.575183218,0.850561897,0.69594431,0.492473472,0.585660812,0.538275903,0.905069333,0.645715856,0.462712352
48,0.615776919,0.570694247,0.83450127,0.704215033,0.481862302,0.609847394,0.582117951,0.810056851,0.684701577,0.507342355
49,0.628773546,0.589647417,0.814509023,0.712538878,0.505387842,0.652749784,0.596346837,0.784815457,0.732984425,0.503599194
50,0.640700831,0.594037457,0.805803035,0.717547137,0.508760385,0.649006623,0.596887507,0.801298255,0.685861096,0.529513389
51,0.629184832,0.590746703,0.809754804,0.708119587,0.509007156,0.633458105,0.580482882,0.833326451,0.716554326,0.489202419
