epoch,acc,f1,loss,precision,recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0.341994556,0.027282574,1.30660816,0.178729445,0.0155902,0.44239099,0.120273895,1.216196158,0.548719263,0.068437771
1,0.473232698,0.271137869,1.120281102,0.68799179,0.178256207,0.510251227,0.339090522,1.048206048,0.672623091,0.228414669
2,0.514229151,0.363716296,1.014000595,0.710220257,0.249195744,0.521513139,0.379434232,1.018551724,0.610045583,0.276638753
3,0.568753609,0.440061792,0.940077275,0.710351884,0.324754599,0.546058331,0.432103097,0.945240339,0.731606292,0.308403119
4,0.571228244,0.476284072,0.916968711,0.718245598,0.36047183,0.593127346,0.504558348,0.906261476,0.741846372,0.384060064
5,0.5850862,0.493265937,0.89381565,0.707638259,0.381341252,0.607276928,0.531533506,0.885208542,0.662028121,0.44527866
6,0.591437763,0.510231616,0.874453908,0.703838312,0.402623113,0.577822697,0.458349763,0.918274712,0.689350086,0.34536529
7,0.596469521,0.510888919,0.869461022,0.713244294,0.40122082,0.588218308,0.532148241,0.886587184,0.714719119,0.425064973
8,0.592262641,0.517386495,0.870762875,0.695105272,0.415738679,0.631533353,0.541843192,0.858428011,0.721306212,0.43574935
9,0.60372845,0.527256655,0.853469422,0.709516299,0.422337705,0.557897777,0.500092942,0.882945809,0.670209031,0.400231014
10,0.597706838,0.531987967,0.861463013,0.685179795,0.437020539,0.625469246,0.544249036,0.854098542,0.651605285,0.468380017
11,0.611482306,0.546537514,0.843236124,0.683950009,0.458054937,0.612474733,0.52402592,0.851828318,0.683736186,0.42622004
12,0.61742143,0.552538564,0.842064866,0.689207519,0.46325167,0.606699394,0.548490507,0.859750152,0.709995561,0.448455097
13,0.614864307,0.565631177,0.843662329,0.691400544,0.48040914,0.611030898,0.564406836,0.841592082,0.67040934,0.488304938
14,0.615276747,0.562353351,0.838128513,0.674866999,0.483461189,0.622004043,0.567329711,0.843700728,0.666037168,0.495235345
15,0.61973109,0.56480668,0.835487975,0.670526406,0.489730265,0.597747618,0.550642275,0.85453018,0.678346771,0.464626047
16,0.620061041,0.568842547,0.834207021,0.673013458,0.494019632,0.616806237,0.583594793,0.829067763,0.669987058,0.517759168
17,0.611399819,0.562715797,0.840791334,0.66603938,0.489070362,0.634421022,0.547434537,0.840317128,0.651350649,0.473577823
18,0.616431576,0.567201923,0.834120449,0.673874354,0.491462509,0.632399653,0.5729111,0.828303699,0.664148166,0.504764655
19,0.615771674,0.569161329,0.832604361,0.680991937,0.491297534,0.632977187,0.581344943,0.833448013,0.671432109,0.513716431
20,0.630701971,0.585445004,0.820170211,0.673665501,0.518930958,0.631244586,0.539852317,0.827856622,0.699869489,0.440658389
21,0.620720944,0.571352671,0.834626959,0.669197023,0.500783634,0.595437482,0.548696526,0.840343946,0.707437601,0.449610165
22,0.621793285,0.577467096,0.823931774,0.685250263,0.501361049,0.579555299,0.552558388,0.87701827,0.630964904,0.492058908
23,0.624845335,0.576977932,0.824180354,0.677204237,0.505485441,0.633265954,0.576469512,0.823756994,0.652841504,0.517181634
24,0.626495092,0.577400957,0.823485268,0.676764531,0.505980368,0.614784869,0.597307879,0.827082905,0.663800968,0.543748195
25,0.630619484,0.591699444,0.813561909,0.670819693,0.530726718,0.61940514,0.53428488,0.822450507,0.67274656,0.444123592
26,0.629299678,0.586551458,0.81336835,0.677313465,0.519343397,0.607565695,0.585274878,0.824138807,0.668599599,0.521513139
