epoch,acc,f1,loss,precision,recall,val_acc,val_f1,val_loss,val_precision,val_recall
0,0.386499007,0.122173133,1.267223,0.385821029,0.076356717,0.429192007,0.259293472,1.157762299,0.754281456,0.157833768
1,0.448047651,0.271750094,1.119734717,0.706205738,0.174139643,0.472632494,0.352073778,1.106946613,0.684963183,0.238053866
2,0.468398412,0.319508508,1.088983998,0.694507754,0.211532098,0.439907327,0.333230207,1.076836444,0.721554755,0.217781639
3,0.488914626,0.333689338,1.059425679,0.716947399,0.220797485,0.503620041,0.319699159,1.04837206,0.702588079,0.207935129
4,0.51042356,0.356317348,1.041369077,0.714456892,0.241148246,0.557486243,0.357717885,1.015747297,0.734887998,0.237764263
5,0.527217075,0.397539555,1.022698614,0.703147691,0.282346128,0.571966406,0.438870811,0.988799567,0.743965135,0.313061106
6,0.541528789,0.419640648,1.011826344,0.693916974,0.30393779,0.543585288,0.451511484,1.015787309,0.75353213,0.323776426
7,0.553027796,0.445981718,0.992320502,0.701435234,0.331485771,0.569070373,0.453103886,0.980018379,0.757947019,0.324934839
8,0.561548643,0.460209526,0.966215743,0.709774022,0.344970218,0.570228787,0.463112796,0.957892534,0.752653406,0.336229366
9,0.546326936,0.441508887,0.999623347,0.696396411,0.330327598,0.571097597,0.457053847,0.980742724,0.716223465,0.337387778
10,0.563947717,0.464095706,0.964625485,0.711909025,0.347782925,0.543295684,0.48559436,0.976019952,0.637749998,0.393281205
11,0.548560556,0.445145049,0.974772541,0.682924627,0.335043018,0.532869968,0.445149769,0.983690459,0.717551667,0.324355633
12,0.565023163,0.478950331,0.954592288,0.708055465,0.36681006,0.581812916,0.478533653,0.916081576,0.756704275,0.351867941
13,0.569904037,0.483178345,0.936643391,0.70556545,0.37028458,0.578337677,0.495359022,0.913588856,0.766937686,0.367796119
14,0.579086697,0.500690579,0.903875878,0.717428996,0.389477167,0.582971329,0.500575863,0.880587051,0.712431934,0.38748914
15,0.586780278,0.517624429,0.888939103,0.710796242,0.410489742,0.568201564,0.567275601,0.86717306,0.737915362,0.462785983
16,0.592240238,0.519725871,0.8765217,0.703531867,0.415370615,0.644946424,0.532949287,0.84672654,0.732699777,0.42050391
17,0.594804765,0.534913732,0.862520488,0.708270301,0.433239576,0.615696496,0.506970575,0.862668977,0.768606613,0.380249059
18,0.591826605,0.516716424,0.873905853,0.705752271,0.411978822,0.667535476,0.557309986,0.833582408,0.756771525,0.442513756
19,0.601919259,0.525816836,0.861966922,0.711531663,0.421575116,0.629597452,0.531847162,0.815034171,0.743653524,0.415580654
20,0.597700198,0.532491296,0.859406177,0.719828119,0.427283256,0.623805387,0.573862436,0.871007575,0.671082148,0.502172024
21,0.605476506,0.548498209,0.846100852,0.709106467,0.450860357,0.631045467,0.562209367,0.806248555,0.732534368,0.457283521
22,0.604483786,0.538918206,0.85020879,0.712247026,0.437789543,0.635968723,0.557955152,0.815116718,0.755473231,0.443961772
23,0.601174719,0.529581636,0.865619752,0.71004939,0.428275976,0.60092673,0.553064858,0.838066239,0.789870739,0.427743991
24,0.608371939,0.553189959,0.839702858,0.712718983,0.455493051,0.624384593,0.592731689,0.795137923,0.757185261,0.488271069
25,0.623593647,0.57407481,0.823247583,0.721929868,0.479980146,0.5803649,0.610447544,0.852922496,0.691970201,0.547060527
26,0.594225678,0.530339153,0.865328726,0.712534069,0.426869623,0.642919201,0.571396038,0.822609659,0.721132713,0.474370113
27,0.624420913,0.569884569,0.815978405,0.731754888,0.468977498,0.626701419,0.589377086,0.786180103,0.72931668,0.49551115
28,0.614741893,0.55933867,0.833101776,0.715519415,0.462690271,0.628439038,0.560029447,0.829630081,0.715299444,0.46162757
29,0.620367306,0.575900067,0.813967005,0.71494802,0.484447386,0.645815233,0.607729587,0.793865335,0.728625356,0.522154648
30,0.62177366,0.57563064,0.808400837,0.718030198,0.486432826,0.61337967,0.527164459,0.822148151,0.786707617,0.398783666
31,0.624338187,0.56371488,0.811920075,0.724107424,0.464344805,0.622646973,0.600255454,0.815170641,0.753965875,0.500144801
32,0.62177366,0.577234602,0.808004989,0.72418554,0.482296492,0.609325225,0.550391848,0.832927487,0.77558635,0.429192007
33,0.603656519,0.558147215,0.959868959,0.702106489,0.467984778,0.640891978,0.545811857,0.887571118,0.753398842,0.429771214
34,0.628391793,0.577351542,0.812314174,0.727981926,0.481551952,0.671879525,0.608915324,0.743758874,0.78312725,0.499855199
35,0.633189941,0.583735326,0.802908954,0.717219535,0.49578094,0.672458731,0.594010237,0.744132931,0.789975517,0.477845352
36,0.636250827,0.584966696,0.783878715,0.731268909,0.49106552,0.683174051,0.663144199,0.731162004,0.732984211,0.606139589
37,0.629136334,0.581253342,0.793616192,0.727834071,0.48858372,0.674775557,0.657721251,0.727939366,0.752066629,0.585288155
38,0.62524818,0.574143571,0.807949824,0.71858073,0.481800132,0.643208804,0.61631873,0.761432914,0.721648473,0.538951636
39,0.61656188,0.566638058,0.817832483,0.707326461,0.479152879,0.677092384,0.644213341,0.742498767,0.762423649,0.55893426
40,0.646508935,0.603684229,0.774714424,0.721497564,0.522998014,0.599478714,0.570563143,0.839282402,0.665290007,0.500434405
41,0.587938451,0.517922423,0.871990497,0.717753393,0.412144275,0.637995945,0.551985914,0.796592036,0.730678074,0.444830582
42,0.619870946,0.562084156,0.803884733,0.715929149,0.466082065,0.611062844,0.547154545,0.810360952,0.665978659,0.465682015
43,0.637078094,0.582517969,0.785482557,0.734091242,0.484943746,0.690124529,0.613198569,0.759292466,0.726409907,0.531421951
44,0.650810721,0.598958322,0.766138624,0.730201496,0.510340834,0.568491167,0.491920374,0.86137998,0.75414949,0.366637706
