epoch,acc,f1,loss,val_acc,val_f1,val_loss
0,0.436351652,0.244373071,1.162629919,0.464378425,0.309877412,1.060128718
1,0.48479855,0.330463608,1.060083114,0.444476493,0.364779643,1.063233629
2,0.507291752,0.38024468,1.014708704,0.520046149,0.434412236,0.981150673
3,0.540166433,0.446219113,0.968786266,0.579751947,0.431860712,0.914499479
4,0.559363928,0.466031607,0.92526862,0.564464955,0.4319189,0.883236686
5,0.577655104,0.492609499,0.895855467,0.578021344,0.509516615,0.871729327
6,0.58152756,0.501176131,0.87685041,0.571387367,0.502901982,0.894991489
7,0.580044492,0.499987682,0.875784255,0.603403519,0.502052732,0.840537099
8,0.583752163,0.505981386,0.873759981,0.583213153,0.495964401,0.871697053
9,0.590673148,0.510466958,0.86168063,0.610037496,0.582147666,0.84828166
10,0.591167504,0.525608499,0.858329384,0.603403519,0.508897005,0.852081504
11,0.59380407,0.519510538,0.850692881,0.61407557,0.545301035,0.827945475
12,0.589272473,0.518646182,0.857699206,0.562445919,0.494638504,0.851178867
13,0.597594134,0.534495855,0.84352265,0.604845688,0.502443223,0.817302524
14,0.603444014,0.548251824,0.836749424,0.616959908,0.570747887,0.819698909
15,0.599241987,0.543610635,0.836081879,0.580040381,0.556405453,0.870496244
16,0.598912417,0.542155123,0.843825154,0.612056533,0.572422373,0.81020029
17,0.602620087,0.550089286,0.836376069,0.619267378,0.53825358,0.816074957
18,0.602949658,0.545287116,0.849248145,0.578021344,0.53614741,0.839960802
19,0.599159595,0.545749601,0.839820225,0.597634843,0.533808348,0.846739999
20,0.601054626,0.54769925,0.840374678,0.625036054,0.582435482,0.821348859
21,0.603855978,0.555890644,0.838609554,0.597634843,0.563328637,0.837513501
22,0.594957568,0.553981921,0.845284741,0.615517739,0.600786621,0.83470203
23,0.600148307,0.55988373,0.845992837,0.625036054,0.551096711,0.831830373
24,0.606574936,0.566831917,0.830793024,0.620997981,0.524044238,0.845681514
25,0.599901129,0.555817897,0.841941519,0.60801846,0.559706807,0.830921436
26,0.612507209,0.572000394,0.824123585,0.625612922,0.602611609,0.814239821
27,0.606492544,0.561213813,0.829570045,0.617825209,0.598036687,0.816927441
28,0.597841312,0.538239172,0.841098014,0.611479665,0.57908925,0.823548962
29,0.607151685,0.567097934,0.828334154,0.610037496,0.600503646,0.813681741
30,0.608469968,0.56004411,0.833267851,0.623017018,0.612805178,0.830779816
31,0.599489165,0.552756453,0.837099961,0.612921834,0.546989577,0.825608257
32,0.59471039,0.540107436,0.846278731,0.593885203,0.548262015,0.832626708
33,0.605668617,0.556145109,0.829685969,0.614364003,0.525634635,0.83126486
34,0.610529785,0.560106632,0.82830925,0.604845688,0.592216627,0.820466719
35,0.613578314,0.56478059,0.823313138,0.618113643,0.604914477,0.81801041
36,0.612754387,0.567700057,0.826561065,0.603403519,0.542393724,0.852802629
37,0.609953036,0.556779479,0.826478251,0.61638304,0.558877585,0.833332234
38,0.611518497,0.563679868,0.826524379,0.615517739,0.578064503,0.827444861
39,0.604597512,0.55488582,0.840044069,0.595327372,0.541242182,0.836333086
40,0.616544451,0.566843198,0.824639818,0.581770984,0.540047732,0.844216724
41,0.604350334,0.555533023,0.835068894,0.605710989,0.56963454,0.825401552
42,0.604350334,0.550387061,0.830822833,0.611191232,0.593649238,0.829623226
43,0.615308561,0.567254014,0.817520904,0.644937987,0.583632751,0.823839875
44,0.611188926,0.563385208,0.820380384,0.64666859,0.560662202,0.810699946
45,0.616956414,0.573470604,0.820897975,0.620997981,0.598857066,0.818582988
46,0.616709236,0.564120913,0.824788478,0.638015575,0.594841633,0.819406134
